#Syntax:
#  itemID;npcID;summonType
#
# summonType: 0 = static, 1 = pet, 2 = wyvern
#

#Static
# Christmas Tree
5560;13006;0
# Special Cristmas Tree
5561;13007;0

#Pets
# Wolf
2375;12077;1
#Black Wolf
9882;16025;1
# Great Wolf
10163;16030;1
# White Great Wolf
10307;16037;1
# Fenrir
10426;16041;1
# White Fenrir
10611;16042;1
# Hatchling of Wind
3500;12311;1
# Hatchling of Star
3501;12312;1
# Hatchling of Twilight
3502;12313;1
# Wind Strider
4422;12526;1
# Star Strider
4423;12527;1
# Twilight Strider
4424;12528;1
# Red Wind Strider
10308;16038;1
# Red Star Strider
10309;16039;1
# Red Twilight Strider
10310;16040;1
# Sin Eater
4425;12564;1
# Baby Bufallo
6648;12780;1
# Baby Cougar
6649;12782;1
# Baby Kookaburra
6650;12781;1
# IBaby Bufallo
10311;16034;1
# IBaby Cougar
10312;16036;1
# IBaby Kookaburra
10313;16035;1

#Wyvern
5249;12621;2

