184472, -12020, -5492, 55111
184470, -12161, -5492, 49004
184476, -12323, -5492, 49538
184475, -12451, -5492, 49070
184473, -12558, -5492, 48957
184471, -12665, -5492, 48957
184470, -12773, -5492, 49055
184468, -12881, -5492, 48958
184466, -12985, -5494, 48951
184463, -13090, -5492, 48854185673, -13102, -5492, 2555
185670, -13038, -5492, 16872
185672, -12976, -5492, 16047
185673, -12913, -5492, 16218
185674, -12794, -5492, 16296
185675, -12700, -5493, 16204
185678, -12563, -5492, 16202
185679, -12446, -5492, 16294
185680, -12323, -5492, 16299
185683, -12153, -5492, 16199
185074, -11917, -5495, 45897
185074, -11917, -5495, 45897
185091, -13332, -5492, 13028
-81975, 150815, -3129, 27191
-185720, 242614, 1679, 34895
-183706, 239432, 1284, 26856
-184930, 239056, 1287, 35440
-184141, 238708, 1436, 17823
-187053, 246016, 1284, 1413
-185791, 246401, 1287, 1875
-186620, 246859, 1436, 52151
-185715, 246431, 1286, 30402
-187128, 245997, 1287, 64055
-186725, 247204, 1436, 51664
-185015, 239028, 1287, 1382
-184005, 238243, 1436, 19256
-183602, 239458, 1289, 32767
177393, -185044, -3722, 40081
177393, -185044, -3722, 40081
184727, -183905, -3311, 40081
175376, -185246, -3722, 60056
187085, -184835, -3311, 60056
184727, -183905, -3311, 60056
185919, -184234, -3312, 26096
176590, -185212, -3723, 64238
185905, -184494, -3312, 28405
187384, -185110, -3312, 42218
175121, -185473, -3723, 0
-7375, 246323, -1867, 52663
-6228, 241123, -1840, 52663
-7495, 246742, -1842, 55201
-4428, 240867, -1849, 44820
-6337, 240927, -1841, 12817
10135, 234844, -1982, 63182
9762, 237360, -1969, 63182
8941, 235755, -1946, 63182
7869, 236429, -1994, 63182
8080, 237861, -1983, 63182
9762, 237360, -1969, 63182
10993, 237334, -1963, 63182
10552, 238293, -1940, 63182
9088, 238938, -1999, 63182
8436, 238018, -1963, 63182
9329, 236810, -1928, 58718
-5991, 244225, -1709, 54690
82676, 148177, -3468, 36787
-82621, 150832, -3128, 973
174530, 19777, -3251, 65376
-82470, 150969, -3134, 27002
175572, -85581, -7220, 65106
18210, 213628, -9356, 10281
18212, 213983, -9352, 62676
18218, 213934, -9356, 50422
10505, 24482, -3726, 21030
-185811, 242567, 1679, 51707
-82625, 151152, -3119, 48311
-43795, 116614, -3590, 37050
17732, 110944, -12164, 49846
17732, 110944, -12164, 49846
17722, 112521, -11981, 47854
17066, 112520, -11972, 340
18493, 112529, -11972, 46596
18501, 115772, -11845, 46596
16845, 115772, -11845, 46596
17714, 117302, -12076, 34490
18494, 115844, -11848, 34490
16848, 115834, -11845, 34490
16865, 112595, -11981, 2902
18501, 112441, -11981, 32073
183355, 249484, -3393, 5579
183355, 249484, -3393, 5579
182310, 248416, -3430, 7927
178773, 218000, -14306, 53914
181222, 217137, -14309, 47633
180853, 209234, -14821, 38901
177985, 217722, -14320, 61667
114070, 17542, 10077, 25563
115935, 15493, 10074, 20352
-81054, 151502, -3044, 39805
-81042, 151505, -3044, 59011
51950, 215922, -3232, 16383
51949, 216226, -3231, 16418
52219, 218495, -3235, 45137
51789, 216219, -3232, 15393
51779, 217142, -3336, 16516
52219, 218495, -3230, 4007
52219, 218495, -3230, 4007
51793, 216229, -3232, 14433
51793, 217203, -3336, 11934
28720, 247229, -3685, 47429
28720, 247229, -3685, 47429
28111, 246912, -3691, 47429
28382, 246729, -3695, 33204
28757, 242423, -3483, 9995
29505, 243072, -3624, 23246
29267, 242600, -3502, 33699
29110, 242367, -3454, 13621
28667, 247255, -3694, 47946
28510, 245062, -3697, 63881
-81958, 150844, -3130, 13780
